address,price,type,no_bed,no_bath,agent,url,garden,parking,new_home,postcode
"121 Brook Lane, Birmingham B13 0AB",99500,Terraced,2,1,"SDL Property Auctions, Nationwide",https://www.rightmove.co.uk/properties/154574144#/?channel=RES_BUY,False,True,False,B13 0AB
"14 Priory Gardens, Birmingham, B28 0TQ",160000,Apartment,2,2,"Keogh Estates, Coventry",https://www.rightmove.co.uk/properties/151136060#/?channel=RES_BUY,False,True,False,B28 0TQ
"294 Haslucks Green Road, Solihull, B90",190000,Apartment,2,2,"Purplebricks, covering Birmingham",https://www.rightmove.co.uk/properties/145922231#/?channel=RES_BUY,True,True,False,B90
"40 Pegasus Court, Union Road, Solihull, West Midlands, B90",45000,Flat,1,1,"Allsop, Auction",https://www.rightmove.co.uk/properties/154083125#/?channel=RES_BUY,True,False,False,B90
"59 Woodstock Road, Moseley, Birmingham",450000,Detached,4,1,"Rice Chamberlains LLP, Moseley",https://www.rightmove.co.uk/properties/153859112#/?channel=RES_BUY,True,True,False,
"7 The Avenue, Acocks Green, Birmingham, West Midlands, B27 6NG",390000,Terraced,7,4,"Cottons, Auctions",https://www.rightmove.co.uk/properties/153508808#/?channel=RES_BUY,True,False,False,B27 6NG
"8, Exel Drive, Birmingham, B11 3JG",145000,Apartment,2,1,"Black & Golds Estate Agents, Solihull",https://www.rightmove.co.uk/properties/152690798#/?channel=RES_BUY,False,True,False,B11 3JG
"Acheson Road, Hall Green",330000,Semi-Detached,3,2,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/152217668#/?channel=RES_BUY,True,True,False,
"Addison Road, BIRMINGHAM, West Midlands, B14",435000,Terraced,5,2,"Dixons, Kings Heath",https://www.rightmove.co.uk/properties/151048298#/?channel=RES_BUY,False,False,False,B14
"Addison Road, Kings Heath, Birmingham",300000,Terraced,3,1,"Heritage Estate Agency, Kings Heath",https://www.rightmove.co.uk/properties/153490619#/?channel=RES_BUY,True,True,False,
"Addison Road, Kings Heath, Birmingham, B14",415000,Terraced,5,2,"Glovers Estate Agents, Kings Heath",https://www.rightmove.co.uk/properties/148605551#/?channel=RES_BUY,True,False,False,B14
"Addison Road, Kings Heath, Birmingham, West Midlands, B14",400000,Terraced,3,1,"Dixons, Kings Heath",https://www.rightmove.co.uk/properties/87028782#/?channel=RES_BUY,True,False,False,B14
"Addison Road, Kings Heath, Birmingham, West Midlands, B14",430000,Terraced,4,1,"Robert Oulsnam & Company, Kings Heath",https://www.rightmove.co.uk/properties/152354480#/?channel=RES_BUY,True,False,False,B14
"Addison Road, Kings Heath, Birmingham, West Midlands, B14",450000,Terraced,5,2,"Dixons, Kings Heath",https://www.rightmove.co.uk/properties/149058335#/?channel=RES_BUY,True,False,False,B14
"Adria Road, Birmingham, West Midlands, B11",180000,Terraced,3,2,"Dixons, Moseley",https://www.rightmove.co.uk/properties/152643371#/?channel=RES_BUY,True,False,False,B11
"Alcester Road South, Birmingham",169950,Maisonette,2,1,"Melvyn Danes, Wythall",https://www.rightmove.co.uk/properties/154521065#/?channel=RES_BUY,False,True,False,
"Alcester Road South, Birmingham, West Midlands, B14",360000,Detached,3,2,"Dixons, Kings Heath",https://www.rightmove.co.uk/properties/154239782#/?channel=RES_BUY,True,True,False,B14
"Alcester Road South, Kings Heath, Birmingham, B14",159995,Maisonette,2,1,"Robert Oulsnam & Company, Kings Heath",https://www.rightmove.co.uk/properties/152221910#/?channel=RES_BUY,False,True,False,B14
"Aldis Close, Hall Green",225000,End of Terrace,2,1,"Martin & Co, Solihull",https://www.rightmove.co.uk/properties/154577714#/?channel=RES_BUY,True,True,False,
"Allcroft Road, Birmingham",220000,Terraced,3,1,"Manny Klarico, Hall Green",https://www.rightmove.co.uk/properties/154142138#/?channel=RES_BUY,True,True,False,
"Apartment 3 Tanworth Lane, Shirley",320000,Apartment,2,1,"Smart Homes Portfolio Collection, Shirley",https://www.rightmove.co.uk/properties/153283007#/?channel=RES_BUY,True,True,True,
"Apartment 4 Paton Grove, Moseley, Birmingham",290000,Apartment,2,2,"DM & Co. Land & New Homes, Solihull",https://www.rightmove.co.uk/properties/144729275#/?channel=RES_BUY,False,True,False,
"Apartment 5 Paton Grove, Moseley, Birmingham",290000,Apartment,2,2,"DM & Co. Land & New Homes, Solihull",https://www.rightmove.co.uk/properties/148066589#/?channel=RES_BUY,False,True,False,
"Apartment 7 Tanworth Lane, Shirley",425000,Apartment,3,2,"Smart Homes Portfolio Collection, Shirley",https://www.rightmove.co.uk/properties/153891710#/?channel=RES_BUY,False,True,True,
"Arden Road, Birmingham, B27",400000,Semi-Detached,5,1,"Purplebricks, covering Birmingham",https://www.rightmove.co.uk/properties/125345525#/?channel=RES_BUY,True,True,False,B27
"Arlington Grove, Birmingham",200000,Terraced,2,1,"Shipways, Shirley",https://www.rightmove.co.uk/properties/153904106#/?channel=RES_BUY,True,True,False,
"Arlington Grove, Birmingham, B14",215000,Terraced,3,1,"Bettermove, Nationwide",https://www.rightmove.co.uk/properties/151325657#/?channel=RES_BUY,True,True,False,B14
"Arnold Road, Shirley, Solihull, West Midlands, B90",370000,Semi-Detached,3,1,"Dixons, Solihull",https://www.rightmove.co.uk/properties/153862274#/?channel=RES_BUY,True,True,False,B90
"Arnold Road, Shirley, Solihull, West Midlands, B90",375000,Semi-Detached,3,1,"A P Morgan, Shirley",https://www.rightmove.co.uk/properties/150707732#/?channel=RES_BUY,True,True,False,B90
"Arundel Road, Nr Hollywood, Birmingham",275000,Semi-Detached,3,1,"Melvyn Danes, Wythall",https://www.rightmove.co.uk/properties/153111221#/?channel=RES_BUY,True,True,False,
"Ashdale Drive, Nr Hollywood",250000,Terraced,3,1,"Melvyn Danes, Wythall",https://www.rightmove.co.uk/properties/146414753#/?channel=RES_BUY,True,True,False,
"Ashwell Drive, Shirley, Solihull",375000,Semi-Detached Bungalow,2,1,"Burchell Edwards, Shirley",https://www.rightmove.co.uk/properties/151017920#/?channel=RES_BUY,True,True,False,
"Avery Drive, Birmingham, B27",300000,Detached,3,1,"Dixons, Acocks Green",https://www.rightmove.co.uk/properties/154190087#/?channel=RES_BUY,False,True,False,B27
"Avery Drive, Birmingham, West Midlands, B27",300000,Detached,3,1,"Bairstow Eves, Acocks Green",https://www.rightmove.co.uk/properties/154387964#/?channel=RES_BUY,True,True,False,B27
"Avondale Road, Birmingham",210000,Terraced,3,1,"Manny Klarico, Hall Green",https://www.rightmove.co.uk/properties/152253725#/?channel=RES_BUY,True,False,False,
"Bach Mill Drive, Hall Green",325000,Semi-Detached,3,1,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/154089008#/?channel=RES_BUY,True,True,False,
"Balmoral Way, Yardley Wood",154000,Flat,2,2,"Martin & Co, Solihull",https://www.rightmove.co.uk/properties/150337817#/?channel=RES_BUY,False,True,False,
"Bardon Drive, Shirley",370000,Semi-Detached Bungalow,3,1,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/150109142#/?channel=RES_BUY,True,True,False,
"Barford Road, Shirley, Solihull",290000,Terraced,3,1,"Shipways, Shirley",https://www.rightmove.co.uk/properties/152591819#/?channel=RES_BUY,True,False,False,
"Barrington Road, Olton, Solihull",280000,Semi-Detached,3,1,"Melvyn Danes, Solihull",https://www.rightmove.co.uk/properties/152587607#/?channel=RES_BUY,True,True,False,
"Baxters Road, Shirley",290000,Semi-Detached,3,1,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/153504662#/?channel=RES_BUY,True,True,False,
"Beauchamp Road, Billesley, Birmingham, B13",199950,Terraced,3,1,"Robert Oulsnam & Company, Kings Heath",https://www.rightmove.co.uk/properties/152043548#/?channel=RES_BUY,True,True,False,B13
"Beechcroft Avenue, Hall Green, Birmingham B28 9ER",375000,Semi-Detached,3,2,"Clive Tanner Wyatts, Hall Green",https://www.rightmove.co.uk/properties/154117109#/?channel=RES_BUY,True,True,False,B28 9ER
"Beechwood Park Road, Solihull, B91",495000,Semi-Detached,3,1,"Yopa, North West & Midlands",https://www.rightmove.co.uk/properties/153435890#/?channel=RES_BUY,True,True,False,B91
"Bericote Croft, Birmingham, West Midlands, B27",240000,End of Terrace,3,1,"Bairstow Eves, Acocks Green",https://www.rightmove.co.uk/properties/152783102#/?channel=RES_BUY,True,False,False,B27
"Berkeley Road, Shirley, Solihull, West Midlands, B90",300000,Semi-Detached,3,1,"A P Morgan, Shirley",https://www.rightmove.co.uk/properties/153269966#/?channel=RES_BUY,True,True,False,B90
"Berkeley Road, Shirley, Solihull, West Midlands, B90",325000,Semi-Detached,3,1,"Dixons, Solihull",https://www.rightmove.co.uk/properties/153702101#/?channel=RES_BUY,True,False,False,B90
"Berkley Crescent, Moseley",395000,Detached,4,2,"Rice Chamberlains LLP, Moseley",https://www.rightmove.co.uk/properties/146211896#/?channel=RES_BUY,True,True,False,
"Berkley Crescent, Moseley, Birmingham, B13",395000,Link Detached House,4,2,"Robert Oulsnam & Company, Moseley",https://www.rightmove.co.uk/properties/151024661#/?channel=RES_BUY,True,True,False,B13
"Berry Maud Lane, Shirley",500000,Detached,4,2,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/152221637#/?channel=RES_BUY,True,True,False,
"Berry Maud Lane, Shirley, Solihull, West Midlands, B90",270000,Semi-Detached,2,2,"A P Morgan, Shirley",https://www.rightmove.co.uk/properties/151902242#/?channel=RES_BUY,True,True,False,B90
"Bickenhill Park Road, Solihull, West Midlands, B92",280000,Terraced,2,1,"Dixons, Solihull",https://www.rightmove.co.uk/properties/154497329#/?channel=RES_BUY,True,True,False,B92
"Billesley Lane, Birmingham, B13",350000,Semi-Detached,3,1,"Purplebricks, covering Birmingham",https://www.rightmove.co.uk/properties/151467578#/?channel=RES_BUY,True,True,False,B13
"Billesley Lane, Birmingham, B13",845000,Semi-Detached,5,3,"Purplebricks, covering Birmingham",https://www.rightmove.co.uk/properties/149620328#/?channel=RES_BUY,True,True,False,B13
"Billesley Lane, Moseley, Birmingham, B13 9RW",475000,Detached,3,1,"Wentworth & Rose, Harborne",https://www.rightmove.co.uk/properties/151839635#/?channel=RES_BUY,True,True,False,B13 9RW
"Bills Lane, Shirley, Solihull",799950,Cottage,3,4,"Horton & Senate, Shirley",https://www.rightmove.co.uk/properties/149929445#/?channel=RES_BUY,True,True,False,
"Binley Close, Shirley",500000,Detached,4,1,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/154192574#/?channel=RES_BUY,True,True,False,
"Binton Croft, Moseley, Birmingham, B13",299950,End of Terrace,2,1,"Robert Oulsnam & Company, Moseley",https://www.rightmove.co.uk/properties/153852194#/?channel=RES_BUY,True,True,False,B13
"Bishopton Close, Shirley",169500,Flat,3,1,"Horton & Senate, Shirley",https://www.rightmove.co.uk/properties/153359858#/?channel=RES_BUY,False,False,False,
"Blenheim Road, Moseley",435000,Semi-Detached,3,1,"Martin & Co, Solihull",https://www.rightmove.co.uk/properties/153854720#/?channel=RES_BUY,True,True,False,
"Blenheim Road, Moseley",480000,Detached,3,1,"Rice Chamberlains LLP, Moseley",https://www.rightmove.co.uk/properties/150959195#/?channel=RES_BUY,True,True,False,
"Blundell Road, Birmingham",155000,End of Terrace,2,1,"Good Move, Leeds",https://www.rightmove.co.uk/properties/153388793#/?channel=RES_BUY,False,False,False,
"Blythsford Road, Birmingham, B28 0UR",269500,Semi-Detached,2,1,"Black & Golds Estate Agents, Solihull",https://www.rightmove.co.uk/properties/148727069#/?channel=RES_BUY,True,True,False,B28 0UR
"Boscombe Road, Birmingham, West Midlands",120000,Terraced,2,1,"Leaders Sales, Maypole",https://www.rightmove.co.uk/properties/154328228#/?channel=RES_BUY,True,False,False,
