Unnamed: 0,address,price,type,no_bed,no_bath,agent,url,garden,parking,new_home,postcode,location,latitude,longitude,tenure,to_nearest_station,to_nearest_school,tax_band
120,"Chamberlain Crescent, Shirley, Solihull, B90 2DG",320000,Semi-Detached,3,1,"Arden Estates, Solihull",https://www.rightmove.co.uk/properties/154487696#/?channel=RES_BUY,True,True,False,B90 2DG,"Chamberlain Crescent, Shirley, Solihull, West Midlands, England, B90 2DG, United Kingdom",52.4071071,-1.8342411,Freehold,0.5 miles,0.1 miles,Band: C
164,"Dolphin Lane, Birmingham",260000,End of Terrace,3,1,"Manny Klarico, Hall Green",https://www.rightmove.co.uk/properties/152541710#/?channel=RES_BUY,True,True,False,,"Dolphin Lane, Acocks Green, Fox Hollies, Birmingham, West Midlands, England, B27 7NP, United Kingdom",52.4383187,-1.8271902,Ask agent,0.7 miles,0.1 miles,Band: A
39,"Barrington Road, Olton, Solihull",280000,Semi-Detached,3,1,"Melvyn Danes, Solihull",https://www.rightmove.co.uk/properties/152587607#/?channel=RES_BUY,True,True,False,,"Barrington Road, Olton, Solihull, West Midlands, England, B92 8DP, United Kingdom",52.4403302,-1.8018797,Freehold,0.2 miles,0.2 miles,Band: C
551,"St. Bernards Road, Olton, Solihull",850000,Detached,5,3,"Andrew Grant, Covering the West Midlands",https://www.rightmove.co.uk/properties/154454360#/?channel=RES_BUY,True,True,False,,"St Bernards Road, Kineton Green, Solihull, West Midlands, England, B92 7BJ, United Kingdom",52.4248617,-1.8117227,Freehold,0.1 miles,0.2 miles,
199,"Fircroft, Solihull",550000,Detached,4,2,"Ruxton Independent Estate Agents & Valuers, Solihull",https://www.rightmove.co.uk/properties/149876141#/?channel=RES_BUY,True,True,False,,"Fircroft, Ulverley Green, Solihull, West Midlands, England, B91 1BE, United Kingdom",52.4255363,-1.7974712,Freehold,0.8 miles,0.2 miles,Band: F
550,"St Bernards Road, Solihull",700000,Detached,4,2,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/150109985#/?channel=RES_BUY,True,True,False,,"St Bernards Road, Kineton Green, Solihull, West Midlands, England, B92 7BJ, United Kingdom",52.4248617,-1.8117227,Freehold,1.2 miles,0.2 miles,Band: F
65,"Botteville Road, Birmingham",395000,End of Terrace,4,2,"Open House Estate Agents, Nationwide",https://www.rightmove.co.uk/properties/149075144#/?channel=RES_BUY,False,False,False,,"Botteville Road, Acocks Green, Fox Hollies, Birmingham, West Midlands, England, B27 7BW, United Kingdom",52.4431906,-1.8214755,Freehold,0.4 miles,0.1 miles,Band: C
513,"Sharmans Cross Road, Solihull",850000,Detached,4,1,"DM & Co. Homes, Solihull",https://www.rightmove.co.uk/properties/149030648#/?channel=RES_BUY,True,True,False,,"Sharmans Cross Road, Sharmans Cross, Solihull, West Midlands, England, B91 1RQ, United Kingdom",52.4161413,-1.8004989,Freehold,0.5 miles,0.2 miles,Band: F
78,"Broad Road, BIRMINGHAM",360000,Semi-Detached,3,1,"Shipways, Shirley",https://www.rightmove.co.uk/properties/150295814#/?channel=RES_BUY,True,True,False,,"Broad Road, Acocks Green, Fox Hollies, Birmingham, West Midlands, England, B27 7XB, United Kingdom",52.4469268,-1.8289905,Freehold,0.4 miles,0.1 miles,Band: B
596,"Tenchlee Place, Hall Green, Birmingham",330000,Semi-Detached,3,2,"Connells, Birmingham City",https://www.rightmove.co.uk/properties/141188108#/?channel=RES_BUY,True,True,True,,"Shaftmoor Lane, Hall Green, Birmingham, West Midlands, England, B28 8SW, United Kingdom",52.44236410112429,-1.8427314180797243,Freehold,0.2 miles,0.2 miles,Band: TBC
