Unnamed: 0,address,price,type,no_bed,no_bath,agent,url,garden,parking,new_home,postcode,tenure,to_nearest_station,to_nearest_school,tax_band
25,"Arlington Grove, Birmingham",200000,Terraced,2,1,"Shipways, Shirley",https://www.rightmove.co.uk/properties/153904106#/?channel=RES_BUY,True,True,False,,Freehold,1.3 miles,0.3 miles,Band: B
435,"Prospect Lane, Solihull, B91",795000,Detached,4,1,"Shepherd Cullen, Covering Solihull & Warwickshire",https://www.rightmove.co.uk/properties/153678464#/?channel=RES_BUY,True,True,False,B91,Freehold,1.0 miles,0.3 miles,
302,"James Court, Wake Green Park",100000,Flat,1,1,"Rice Chamberlains LLP, Moseley",https://www.rightmove.co.uk/properties/153012953#/?channel=RES_BUY,False,True,False,,Leasehold,1.3 miles,0.5 miles,Band: A
19,"Allcroft Road, Birmingham",220000,Terraced,3,1,"Manny Klarico, Hall Green",https://www.rightmove.co.uk/properties/154142138#/?channel=RES_BUY,True,True,False,,Freehold,0.3 miles,0.2 miles,Band: A
603,"The Avenue, Acocks Green, Birmingham",235000,Terraced,3,1,"Oakmans Estate Agents, Shirley",https://www.rightmove.co.uk/properties/148396700#/?channel=RES_BUY,True,False,False,,Freehold,0.3 miles,0.2 miles,Band: B
414,"Percy Road, Birmingham",170000,Terraced,3,1,"Shipways, Shirley",https://www.rightmove.co.uk/properties/154335329#/?channel=RES_BUY,True,False,False,,Freehold,0.9 miles,0.3 miles,Band: A
155,"Croome Close, Sparkhill, Birmingham, B11",345000,Semi-Detached,3,1,"Robert Oulsnam & Company, Moseley",https://www.rightmove.co.uk/properties/152236007#/?channel=RES_BUY,True,True,False,B11,Freehold,1.1 miles,0.3 miles,Band: C
650,"Warwick Road, Acocks Green",85000,Flat,1,1,"Archer Bassett, Coventry",https://www.rightmove.co.uk/properties/144985526#/?channel=RES_BUY,False,True,False,,Leasehold,0.3 miles,0.1 miles,Band: A
424,"Philip Sidney Road, Sparkhill, Birmingham, B11",220000,End of Terrace,2,1,"Robert Oulsnam & Company, Moseley",https://www.rightmove.co.uk/properties/146402777#/?channel=RES_BUY,True,True,False,B11,Freehold,1.2 miles,0.2 miles,Band: A
73,"Brampton Crescent, Shirley, Solihull, West Midlands, B90",600000,Detached,5,3,"A P Morgan, Shirley",https://www.rightmove.co.uk/properties/153461402#/?channel=RES_BUY,True,True,False,B90,Freehold,1.2 miles,0.3 miles,Band: F
21,"Apartment 4 Paton Grove, Moseley, Birmingham",290000,Apartment,2,2,"DM & Co. Land & New Homes, Solihull",https://www.rightmove.co.uk/properties/144729275#/?channel=RES_BUY,False,True,False,,Leasehold,1.8 miles,0.2 miles,Band: D
328,"Longmore Road, Shirley, Solihull, B90 3DZ",475000,Semi-Detached,4,2,"Arden Estates, Solihull",https://www.rightmove.co.uk/properties/149841971#/?channel=RES_BUY,True,True,False,B90 3DZ,Freehold,1.0 miles,0.2 miles,Band: D
63,"Boscombe Road, Birmingham, West Midlands",120000,Terraced,2,1,"Leaders Sales, Maypole",https://www.rightmove.co.uk/properties/154328228#/?channel=RES_BUY,True,False,False,,Freehold,0.5 miles,0.1 miles,Band: A
228,"Glen Rise, Birmingham",240000,Semi-Detached,3,1,"Shipways, Shirley",https://www.rightmove.co.uk/properties/153856070#/?channel=RES_BUY,True,True,False,,Freehold,0.4 miles,0.2 miles,Band: C
184,"Egginton Road, Hall Green",330000,Semi-Detached,3,1,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/154115945#/?channel=RES_BUY,True,True,False,,Freehold,0.4 miles,0.2 miles,Band: C
284,"Heathcliff Road, BIRMINGHAM",190000,Terraced,3,1,"Connells, Kings Heath",https://www.rightmove.co.uk/properties/152188445#/?channel=RES_BUY,True,True,False,,Freehold,0.2 miles,0.2 miles,Band: A
29,"Arundel Road, Nr Hollywood, Birmingham",275000,Semi-Detached,3,1,"Melvyn Danes, Wythall",https://www.rightmove.co.uk/properties/153111221#/?channel=RES_BUY,True,True,False,,Freehold,1.5 miles,0.1 miles,Band: C
350,"Marshall Lake Road, Shirley, Solihull",350000,Semi-Detached,4,1,"Burchell Edwards, Solihull",https://www.rightmove.co.uk/properties/143181125#/?channel=RES_BUY,True,True,False,,Freehold,1.3 miles,0.3 miles,Band: C
475,"Sandgate Road, Hall Green",305000,Semi-Detached,3,1,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/150280853#/?channel=RES_BUY,True,True,False,,Freehold,0.7 miles,0.1 miles,Band: C
583,"Stroud Road, Shirley, B90",330000,Semi-Detached,3,1,"Open House Estate Agents, Nationwide",https://www.rightmove.co.uk/properties/151022504#/?channel=RES_BUY,True,True,False,B90,Freehold,0.4 miles,0.3 miles,Band: C
466,"Rosebriars, Majors Green , B90 1EG",650000,Detached,5,2,"Black & Golds Estate Agents, Solihull",https://www.rightmove.co.uk/properties/152989676#/?channel=RES_BUY,True,True,False,B90 1EG,Freehold,0.2 miles,0.5 miles,
