address,price,type,no_bed,no_bath,agent,url
"Shaftmoor Lane,
Hall Green,
Birmingham, 
West Midlands, 
B28 8SW","£520,000",Detached,4,not_specified,David Wilson Homes,https://www.rightmove.co.uk/properties/153971048#/?channel=RES_BUY
"Stratford Road, Shirley, Solihull","£445,000",Semi-Detached,4,2,"DM & Co. Land & New Homes, Solihull",https://www.rightmove.co.uk/properties/154332521#/?channel=RES_BUY
"Plot 98 The Green, Stratford Road, Shirley, Solihull","£440,000",Semi-Detached,4,2,"DM & Co. Land & New Homes, Solihull",https://www.rightmove.co.uk/properties/154332437#/?channel=RES_BUY
"Stratford Road, Shirley, Solihull","£445,000",Semi-Detached,4,2,"DM & Co. Land & New Homes, Solihull",https://www.rightmove.co.uk/properties/154332299#/?channel=RES_BUY
"Stratford Road, Shirley, Solihull","£440,000",Semi-Detached,4,2,"DM & Co. Land & New Homes, Solihull",https://www.rightmove.co.uk/properties/154331747#/?channel=RES_BUY
"Plot 13 The Walnut, Stratford Road, Shirley, Solihull","£440,000",Terraced,4,2,"DM & Co. Land & New Homes, Solihull",https://www.rightmove.co.uk/properties/154331390#/?channel=RES_BUY
"Shaftmoor Lane,
Hall Green,
West Midlands,
B28 8SN","£404,995",Detached,3,not_specified,Barratt Homes,https://www.rightmove.co.uk/properties/153918755#/?channel=RES_BUY
"Shaftmoor Lane,
Hall Green,
Birmingham, 
West Midlands, 
B28 8SW","£445,000",Detached,3,not_specified,David Wilson Homes,https://www.rightmove.co.uk/properties/154084715#/?channel=RES_BUY
"Shaftmoor Lane,
Hall Green,
Birmingham, 
West Midlands, 
B28 8SW","£320,000",End of Terrace,2,not_specified,David Wilson Homes,https://www.rightmove.co.uk/properties/154177844#/?channel=RES_BUY
"Shaftmoor Lane,
Hall Green,
West Midlands,
B28 8SN","£469,995",Semi-Detached,5,not_specified,Barratt Homes,https://www.rightmove.co.uk/properties/154136225#/?channel=RES_BUY
"Shaftmoor Lane,
Hall Green,
Birmingham, 
West Midlands, 
B28 8SW","£520,000",Detached,4,not_specified,David Wilson Homes,https://www.rightmove.co.uk/properties/153971048#/?channel=RES_BUY
"Shaftmoor Lane,
Hall Green,
West Midlands,
B28 8SN","£389,995",Detached,3,not_specified,Barratt Homes,https://www.rightmove.co.uk/properties/153918752#/?channel=RES_BUY
"Shaftmoor Lane,
Hall Green,
West Midlands,
B28 8SN","£394,995",Semi-Detached,4,not_specified,Barratt Homes,https://www.rightmove.co.uk/properties/153762281#/?channel=RES_BUY
"Shaftmoor Lane,
Hall Green,
West Midlands,
B28 8SN","£394,995",Semi-Detached,4,not_specified,Barratt Homes,https://www.rightmove.co.uk/properties/153762278#/?channel=RES_BUY
"Shaftmoor Lane,
Hall Green,
West Midlands,
B28 8SN","£381,995",Detached,3,not_specified,Barratt Homes,https://www.rightmove.co.uk/properties/147326681#/?channel=RES_BUY
"Shaftmoor Lane,
Hall Green,
West Midlands,
B28 8SN","£459,995",Semi-Detached,5,not_specified,Barratt Homes,https://www.rightmove.co.uk/properties/150458213#/?channel=RES_BUY
"Shaftmoor Lane,
Hall Green,
West Midlands,
B28 8SN","£379,995",Detached,3,not_specified,Barratt Homes,https://www.rightmove.co.uk/properties/143029916#/?channel=RES_BUY
"Shaftmoor Lane,
Hall Green,
West Midlands,
B28 8SN","£459,995",Semi-Detached,5,not_specified,Barratt Homes,https://www.rightmove.co.uk/properties/150458210#/?channel=RES_BUY
"Millwood Drive, Birmingham, West Midlands, B28 0QE","£575,000",Detached,4,2,"Smart Homes, New Homes, Shirley",https://www.rightmove.co.uk/properties/153176045#/?channel=RES_BUY
"Millwood Drive, Birmingham, West Midlands, B28 0QE","£400,000",Semi-Detached,3,2,"Smart Homes, New Homes, Shirley",https://www.rightmove.co.uk/properties/152863886#/?channel=RES_BUY
"Apartment 3 Tanworth Lane, Shirley","£320,000",Apartment,2,1,"Smart Homes Portfolio Collection, Shirley",https://www.rightmove.co.uk/properties/153283007#/?channel=RES_BUY
"The Elms - The Ellerton, Shaftmoor Lane, Hall Green","£330,995",Semi-Detached,3,2,"Smart Homes, New Homes, Shirley",https://www.rightmove.co.uk/properties/151946498#/?channel=RES_BUY
"The Elms - The Collaton, Shaftmoor Lane, Hall Green","£391,995",Detached,3,2,"Smart Homes, New Homes, Shirley",https://www.rightmove.co.uk/properties/151942403#/?channel=RES_BUY
"The Elms - The Ennerdale, Shaftmoor Lane, Hall Green","£369,995",End of Terrace,3,2,"Smart Homes, New Homes, Shirley",https://www.rightmove.co.uk/properties/151864235#/?channel=RES_BUY
"The Elms, Shaftmoor Lane, Hall Green, Birmingham, West Midlands, B28 8SN","£279,995",Semi-Detached,2,1,"Smart Homes, New Homes, Shirley",https://www.rightmove.co.uk/properties/151861643#/?channel=RES_BUY
"Shaftmoor Lane,
Hall Green,
Birmingham, 
West Midlands, 
B28 8SW","£445,000",Detached,3,not_specified,David Wilson Homes,https://www.rightmove.co.uk/properties/154084715#/?channel=RES_BUY
"Tenchlee Place, Hall Green, Birmingham","£520,000",Detached,4,3,"Connells, Birmingham City",https://www.rightmove.co.uk/properties/135112643#/?channel=RES_BUY
"Tenchlee Place, Hall Green, Birmingham","£399,995",Semi-Detached,3,3,"Connells, Birmingham City",https://www.rightmove.co.uk/properties/125129780#/?channel=RES_BUY
"Tenchlee Place, Hall Green, Birmingham","£330,000",Semi-Detached,3,2,"Connells, Birmingham City",https://www.rightmove.co.uk/properties/141188108#/?channel=RES_BUY
"Shaftmoor Lane,
Hall Green,
West Midlands,
B28 8SN","£330,995",Terraced,3,not_specified,Barratt Homes,https://www.rightmove.co.uk/properties/151443134#/?channel=RES_BUY
"The Elms, The Oxford, Shaftmoor Lane, Hall Green","£469,995",Semi-Detached,5,2,"Smart Homes, New Homes, Shirley",https://www.rightmove.co.uk/properties/151345349#/?channel=RES_BUY
"Shaftmoor Lane,
Hall Green,
Birmingham, 
West Midlands, 
B28 8SW","£399,995",Semi-Detached,3,not_specified,David Wilson Homes,https://www.rightmove.co.uk/properties/149527079#/?channel=RES_BUY
"Shaftmoor Lane,
Hall Green,
Birmingham, 
West Midlands, 
B28 8SW","£525,000",Detached,4,not_specified,David Wilson Homes,https://www.rightmove.co.uk/properties/150969773#/?channel=RES_BUY
"Shaftmoor Lane,
Hall Green,
Birmingham, 
West Midlands, 
B28 8SW","£399,995",Semi-Detached,3,not_specified,David Wilson Homes,https://www.rightmove.co.uk/properties/149644874#/?channel=RES_BUY
"Shaftmoor Lane,
Hall Green,
Birmingham, 
West Midlands, 
B28 8SW","£445,000",Detached,3,not_specified,David Wilson Homes,https://www.rightmove.co.uk/properties/148910312#/?channel=RES_BUY
"Stratford Road, Shirley, Solihull","£485,000",Detached,4,2,"DM & Co. Land & New Homes, Solihull",https://www.rightmove.co.uk/properties/144413441#/?channel=RES_BUY
"Apartment 7 Tanworth Lane, Shirley","£425,000",Apartment,3,2,"Smart Homes Portfolio Collection, Shirley",https://www.rightmove.co.uk/properties/153891710#/?channel=RES_BUY
"Tenchlee Place, Hall Green, Birmingham","£435,000",Detached,3,3,"Connells, Birmingham City",https://www.rightmove.co.uk/properties/133873349#/?channel=RES_BUY
